Feature,Importance
Income,0.07745009340645052
Age,0.07678575438069832
Credit_Utilization,0.07511270516943996
Credit_Score,0.06570029371283885
Account_Tenure,0.06294920563273934
Loan_Balance,0.06270226376585883
Debt_to_Income_Ratio,0.06069005192903621
Missed_Payments,0.05588271126330284
Employment_Status_Employed,0.04940077129273549
Month_1_On-time,0.03507432442166271
Month_5_On-time,0.031121937340688043
Location_Los Angeles,0.029326405997895637
Location_Phoenix,0.026729713244216306
Month_6_On-time,0.02295334260516119
Month_2_On-time,0.0227765729887029
Month_3_Missed,0.02263192517160579
Credit_Card_Type_Gold,0.021734851414834777
Employment_Status_Unemployed,0.019256768693614118
Month_4_Missed,0.018355949719994075
Month_3_On-time,0.01691771199597512
Credit_Card_Type_Student,0.016605837310835897
Month_1_Missed,0.016101067937810798
Month_6_Missed,0.013796322128289486
Location_Houston,0.013701356126801782
Month_5_Missed,0.012627511331664171
Credit_Card_Type_Platinum,0.011773830936704385
Month_4_On-time,0.01101826955768321
Employment_Status_retired,0.01067187276690637
Month_2_Missed,0.009801337111557751
Credit_Card_Type_Standard,0.009183971354751023
Employment_Status_Self-employed,0.008351123261769088
Employment_Status_employed,0.007150151395387673
Location_New York,0.005663994632387316
